Province/State,Country/Region,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered
W.P. Kuala Lumpur,Malaysia,1/26/2020 16:00,,,0,0,0
W.P. Labuan,Malaysia,1/26/2020 16:00,,,0,0,0
W.P. Putrajaya,Malaysia,1/26/2020 16:00,,,0,0,0
Wales,United Kingdom,1/26/2020 16:00,,,0,0,0
Washington,US,1/26/2020 16:00,,,1,,
Xinjiang,Mainland China,1/26/2020 16:00,,,4,,
Yunnan,Mainland China,1/26/2020 16:00,,,16,,
Zhejiang,Mainland China,1/26/2020 16:00,,,104,,1
,Japan,1/26/2020 16:00,,,4,,1
,Thailand,1/26/2020 16:00,,,8,0,6
,South Korea,1/26/2020 16:00,,,3,,
,Singapore,1/26/2020 16:00,,,4,,
,Vietnam,1/26/2020 16:00,,,2,,
,France,1/26/2020 16:00,,,3,,
,Australia,1/26/2020 16:00,,,4,,
,Nepal,1/26/2020 16:00,,,1,,
,Kiribati,1/26/2020 16:00,,,0,0,0
,Palau,1/26/2020 16:00,,,0,0,0
,Summer Olympics 2020,1/26/2020 16:00,,,0,0,0
,Tonga,1/26/2020 16:00,,,0,0,0
,Winter Olympics 2022,1/26/2020 16:00,,,0,0,0
,Antarctica,1/26/2020 16:00,,,0,0,0
,"Korea, North",1/26/2020 16:00,,,0,0,0
,Nauru,1/26/2020 16:00,,,0,0,0
,Tuvalu,1/26/2020 16:00,,,0,0,0
Anhui,Mainland China,1/27/2020 23:59,,,70,,
Arizona,US,1/27/2020 23:59,,,1,,
Beijing,Mainland China,1/27/2020 23:59,,,80,1,2
California,US,1/27/2020 23:59,,,2,,
Chongqing,Mainland China,1/27/2020 23:59,,,110,,
Cook Islands,New Zealand,1/27/2020 23:59,,,0,0,0
England,United Kingdom,1/27/2020 23:59,,,0,0,0
Fujian,Mainland China,1/27/2020 23:59,,,59,,
Gansu,Mainland China,1/27/2020 23:59,,,14,,
Guangdong,Mainland China,1/27/2020 23:59,,,151,,4
Guangxi,Mainland China,1/27/2020 23:59,,,46,,
Guernsey,United Kingdom,1/27/2020 23:59,,,0,0,0
Guizhou,Mainland China,1/27/2020 23:59,,,7,,
Hainan,Mainland China,1/27/2020 23:59,,,33,1,
Hebei,Mainland China,1/27/2020 23:59,,,18,1,
Heilongjiang,Mainland China,1/27/2020 23:59,,,21,1,
Henan,Mainland China,1/27/2020 23:59,,,128,1,
Hong Kong,Hong Kong,1/27/2020 23:59,,,8,,
Hubei,Mainland China,1/27/2020 23:59,,,1423,76,45
Hunan,Mainland China,1/27/2020 23:59,,,100,,
Illinois,US,1/27/2020 23:59,,,1,,
Inner Mongolia,Mainland China,1/27/2020 23:59,,,11,,
Jersey,United Kingdom,1/27/2020 23:59,,,0,0,0
Jiangsu,Mainland China,1/27/2020 23:59,,,47,,1
Jiangxi,Mainland China,1/27/2020 23:59,,,72,,2
Jilin,Mainland China,1/27/2020 23:59,,,6,,
Johor,Malaysia,1/27/2020 23:59,,,0,0,0
Kedah,Malaysia,1/27/2020 23:59,,,0,0,0
Kelantan,Malaysia,1/27/2020 23:59,,,0,0,0
Liaoning,Mainland China,1/27/2020 23:59,,,27,,
Macau,Macau,1/27/2020 23:59,,,6,,
Melaka,Malaysia,1/27/2020 23:59,,,0,0,0
Negeri Sembilan,Malaysia,1/27/2020 23:59,,,0,0,0
New South Wales,Australia,1/27/2020 23:59,,,4,,
Ningxia,Mainland China,1/27/2020 23:59,,,7,,
Niue,New Zealand,1/27/2020 23:59,,,0,0,0
Northern Ireland,United Kingdom,1/27/2020 23:59,,,0,0,0
Ontario,Canada,1/27/2020 23:59,,,3,,
